dataset	tinyId	field	removed_text
set1a_urban	synUHI015	definition	A field of the Environmental Stress Index (ESI).
set1a_urban	synUHI016	question	Over the past 30 days, geographic position of the measurement station
set1a_urban	synUHI016	definition	[definition modified: 93 -> 61 chars]
set1a_urban	synUHI017	question	During the last 12 months, recurring annual cycle of heat island intensity
set1a_urban	synUHI017	definition	[definition modified: 92 -> 56 chars]
set1a_urban	synUHI018	(clean)	
set1a_urban	synUHI019	(clean)	
set1a_urban	synUHI020	(clean)	
set1a_urban	synSRM001	name	ESI Water Stress -
set1a_urban	synSRM001	question	Over the past 30 days, maximum volume of stormwater flowing from the catchment during a storm event
set1a_urban	synSRM001	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synSRM002	name	ESI Water Stress -
set1a_urban	synSRM002	question	During the last 12 months, ratio of runoff to total precipitation over the catchment area
set1a_urban	synSRM002	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synSRM003	name	ESI Water Stress -
set1a_urban	synSRM003	question	In the past 7 days, contaminant level in the initial volume of stormwater runoff
set1a_urban	synSRM003	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synSRM004	name	ESI Water Stress -
set1a_urban	synSRM004	question	Over the past 30 days, mass of particulate matter carried by stormwater flow
set1a_urban	synSRM004	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synSRM005	name	ESI Water Stress -
set1a_urban	synSRM005	question	During the last 12 months, mass of contaminants delivered per unit time during a storm event
set1a_urban	synSRM005	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synSRM006	name	ESI Water Stress -
set1a_urban	synSRM006	question	In the past 7 days, health hazard rating from contaminated stormwater exposure
set1a_urban	synSRM006	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synSRM007	name	CRAT Environmental Burden -
set1a_urban	synSRM007	question	Over the past 30 days, maximum throughput of the underground stormwater conveyance system
set1a_urban	synSRM007	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synSRM008	name	CRAT Environmental Burden -
set1a_urban	synSRM008	question	During the last 12 months, fraction of the sub-catchment covered by non-permeable surfaces
set1a_urban	synSRM008	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synSRM009	name	CRAT Environmental Burden -
set1a_urban	synSRM009	question	In the past 7 days, stormwater volume retained by bioretention and permeable features
set1a_urban	synSRM009	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synSRM010	name	CRAT Environmental Burden -
set1a_urban	synSRM010	question	Over the past 30 days, rate at which stormwater percolates through the bioswale soil medium
set1a_urban	synSRM010	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synSRM011	name	CRAT Environmental Burden -
set1a_urban	synSRM011	question	During the last 12 months, thermal state of stormwater at the point of discharge
set1a_urban	synSRM011	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synSRM012	name	CRAT Environmental Burden -
set1a_urban	synSRM012	question	In the past 7 days, proportion of gutter flow captured by the curb inlet
set1a_urban	synSRM012	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synSRM013	definition	A field of the Environmental Stress Index (ESI).
set1a_urban	synSRM014	definition	A field of the Environmental Stress Index (ESI).
set1a_urban	synSRM015	definition	A field of the Environmental Stress Index (ESI).
set1a_urban	synSRM016	question	Over the past 30 days, geographic position of the stormwater discharge monitoring point
set1a_urban	synSRM016	definition	[definition modified: 195 -> 163 chars]
set1a_urban	synSRM017	question	During the last 12 months, recurring annual cycle of stormwater generation and quality variation
set1a_urban	synSRM017	definition	[definition modified: 242 -> 206 chars]
set1a_urban	synSRM018	(clean)	
set1a_urban	synSRM019	(clean)	
set1a_urban	synSRM020	(clean)	
set1a_urban	synIAQ001	name	ESI Air Contamination -
set1a_urban	synIAQ001	question	Over the past 30 days, level of CO2 measured in the occupied indoor space
set1a_urban	synIAQ001	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synIAQ002	name	ESI Air Contamination -
set1a_urban	synIAQ002	question	During the last 12 months, concentration of formaldehyde released from building materials
set1a_urban	synIAQ002	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synIAQ003	name	ESI Air Contamination -
set1a_urban	synIAQ003	question	In the past 7 days, radioactivity level from radon gas accumulated in the enclosed space
set1a_urban	synIAQ003	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synIAQ004	name	ESI Air Contamination -
set1a_urban	synIAQ004	question	Over the past 30 days, number of culturable airborne mold spores per unit volume of indoor air
set1a_urban	synIAQ004	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synIAQ005	name	ESI Air Contamination -
set1a_urban	synIAQ005	question	During the last 12 months, fine particulate matter level in the indoor air of the building
set1a_urban	synIAQ005	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synIAQ006	name	ESI Air Contamination -
set1a_urban	synIAQ006	question	In the past 7 days, proportion of building occupants reporting health symptoms
set1a_urban	synIAQ006	definition	As part of the Environmental Stress Index (ESI).
set1a_urban	synIAQ007	name	CRAT Health Impact -
set1a_urban	synIAQ007	question	Over the past 30 days, volume of outdoor air delivered to the indoor space per unit time
set1a_urban	synIAQ007	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synIAQ008	name	CRAT Health Impact -
set1a_urban	synIAQ008	question	During the last 12 months, sum of all measured volatile organic compounds in the indoor air
set1a_urban	synIAQ008	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synIAQ009	name	CRAT Health Impact -
set1a_urban	synIAQ009	question	In the past 7 days, cumulative time the occupant is exposed to indoor contaminants
set1a_urban	synIAQ009	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synIAQ010	name	CRAT Health Impact -
set1a_urban	synIAQ010	question	Over the past 30 days, number of complete indoor air volume replacements per hour
set1a_urban	synIAQ010	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synIAQ011	name	CRAT Health Impact -
set1a_urban	synIAQ011	question	During the last 12 months, dry-bulb temperature of the air inside the occupied space
set1a_urban	synIAQ011	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synIAQ012	name	CRAT Health Impact -
set1a_urban	synIAQ012	question	In the past 7 days, ability of the HVAC system to maintain target indoor humidity levels
set1a_urban	synIAQ012	definition	Based on the Community Resilience Assessment Tool (CRAT).
set1a_urban	synIAQ013	definition	A field of the Environmental Stress Index (ESI).
set1a_urban	synIAQ014	definition	A field of the Environmental Stress Index (ESI).
set1a_urban	synIAQ015	definition	A field of the Environmental Stress Index (ESI).
set1a_urban	synIAQ016	question	Over the past 30 days, position of the air quality sensor within the building
set1a_urban	synIAQ016	definition	[definition modified: 460 -> 428 chars]
set1a_urban	synIAQ017	question	During the last 12 months, recurring annual cycle of indoor pollutant concentrations
set1a_urban	synIAQ017	definition	[definition modified: 463 -> 427 chars]
set1a_urban	synIAQ018	(clean)	
set1a_urban	synIAQ019	(clean)	
set1a_urban	synIAQ020	(clean)	
set1b_clinical	synPAN001	name	SSS Pain Interference -
set1b_clinical	synPAN001	question	In the past 7 days, how would you rate your current pain level
set1b_clinical	synPAN001	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synPAN002	name	SSS Pain Interference -
set1b_clinical	synPAN002	question	Over the past 2 weeks, primary body area where pain is experienced
set1b_clinical	synPAN002	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synPAN003	name	SSS Pain Interference -
set1b_clinical	synPAN003	question	During the past 4 weeks, how often pain episodes occur
set1b_clinical	synPAN003	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synPAN004	name	SSS Pain Interference -
set1b_clinical	synPAN004	question	In the past 7 days, when did the current pain episode begin
set1b_clinical	synPAN004	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synPAN005	name	SSS Pain Interference -
set1b_clinical	synPAN005	question	Over the past 2 weeks, how long each pain episode typically lasts
set1b_clinical	synPAN005	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synPAN006	name	SSS Pain Interference -
set1b_clinical	synPAN006	question	During the past 4 weeks, global rating of symptom burden experienced by the subject
set1b_clinical	synPAN006	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synPAN007	name	FAB Physical Function -
set1b_clinical	synPAN007	question	In the past 7 days, maximum force exerted by the hand during a grip test
set1b_clinical	synPAN007	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synPAN008	name	FAB Physical Function -
set1b_clinical	synPAN008	question	Over the past 2 weeks, maximum distance walked during a timed test
set1b_clinical	synPAN008	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synPAN009	name	FAB Physical Function -
set1b_clinical	synPAN009	question	During the past 4 weeks, number of stairs ascended without assistance
set1b_clinical	synPAN009	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synPAN010	name	FAB Physical Function -
set1b_clinical	synPAN010	question	In the past 7 days, maximum weight safely lifted from floor to waist height
set1b_clinical	synPAN010	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synPAN011	name	FAB Physical Function -
set1b_clinical	synPAN011	question	Over the past 2 weeks, degree of limitation in daily physical activities
set1b_clinical	synPAN011	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synPAN012	name	FAB Physical Function -
set1b_clinical	synPAN012	question	During the past 4 weeks, angular excursion of the affected joint
set1b_clinical	synPAN012	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synPAN013	definition	A field of the Symptom Severity Scale (SSS).
set1b_clinical	synPAN014	definition	A field of the Symptom Severity Scale (SSS).
set1b_clinical	synPAN015	definition	A field of the Symptom Severity Scale (SSS).
set1b_clinical	synPAN016	question	In the past 7 days, subject's age at the time of the clinical evaluation
set1b_clinical	synPAN016	definition	[definition modified: 89 -> 60 chars]
set1b_clinical	synPAN017	question	Over the past 2 weeks, number of concurrent medical conditions reported
set1b_clinical	synPAN017	definition	[definition modified: 104 -> 72 chars]
set1b_clinical	synPAN018	(clean)	
set1b_clinical	synPAN019	(clean)	
set1b_clinical	synPAN020	(clean)	
set1b_clinical	synCOG001	name	SSS Cognitive Difficulty -
set1b_clinical	synCOG001	question	In the past 7 days, number of items correctly recalled in sequence
set1b_clinical	synCOG001	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synCOG002	name	SSS Cognitive Difficulty -
set1b_clinical	synCOG002	question	Over the past 2 weeks, length of time the subject maintains focused attention on the task
set1b_clinical	synCOG002	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synCOG003	name	SSS Cognitive Difficulty -
set1b_clinical	synCOG003	question	During the past 4 weeks, rate at which simple cognitive operations are completed
set1b_clinical	synCOG003	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synCOG004	name	SSS Cognitive Difficulty -
set1b_clinical	synCOG004	question	In the past 7 days, number of words generated within a time-limited category task
set1b_clinical	synCOG004	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synCOG005	name	SSS Cognitive Difficulty -
set1b_clinical	synCOG005	question	Over the past 2 weeks, overall score on tests of planning, inhibition, and cognitive flexibility
set1b_clinical	synCOG005	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synCOG006	name	SSS Cognitive Difficulty -
set1b_clinical	synCOG006	question	During the past 4 weeks, self-reported severity of cognitive complaints
set1b_clinical	synCOG006	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synCOG007	name	FAB Daily Living Activities -
set1b_clinical	synCOG007	question	In the past 7 days, duration required to complete a standardized functional task
set1b_clinical	synCOG007	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synCOG008	name	FAB Daily Living Activities -
set1b_clinical	synCOG008	question	Over the past 2 weeks, performance rating on complex daily living activities
set1b_clinical	synCOG008	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synCOG009	name	FAB Daily Living Activities -
set1b_clinical	synCOG009	question	During the past 4 weeks, number of social activities engaged in during the assessment period
set1b_clinical	synCOG009	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synCOG010	name	FAB Daily Living Activities -
set1b_clinical	synCOG010	question	In the past 7 days, ability to convey and comprehend information in conversation
set1b_clinical	synCOG010	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synCOG011	name	FAB Daily Living Activities -
set1b_clinical	synCOG011	question	Over the past 2 weeks, degree of independence in performing routine daily tasks
set1b_clinical	synCOG011	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synCOG012	name	FAB Daily Living Activities -
set1b_clinical	synCOG012	question	During the past 4 weeks, proportion of novel problems correctly solved
set1b_clinical	synCOG012	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synCOG013	definition	A field of the Symptom Severity Scale (SSS).
set1b_clinical	synCOG014	definition	A field of the Symptom Severity Scale (SSS).
set1b_clinical	synCOG015	definition	A field of the Symptom Severity Scale (SSS).
set1b_clinical	synCOG016	question	In the past 7 days, age of the participant at the time of cognitive testing
set1b_clinical	synCOG016	definition	[definition modified: 256 -> 227 chars]
set1b_clinical	synCOG017	question	Over the past 2 weeks, number of active medical diagnoses at the time of evaluation
set1b_clinical	synCOG017	definition	[definition modified: 265 -> 233 chars]
set1b_clinical	synCOG018	(clean)	
set1b_clinical	synCOG019	(clean)	
set1b_clinical	synCOG020	(clean)	
set1b_clinical	synSLP001	name	SSS Sleep Disturbance -
set1b_clinical	synSLP001	question	In the past 7 days, time elapsed from lights-out to the onset of sleep
set1b_clinical	synSLP001	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synSLP002	name	SSS Sleep Disturbance -
set1b_clinical	synSLP002	question	Over the past 2 weeks, proportion of time in bed actually spent sleeping
set1b_clinical	synSLP002	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synSLP003	name	SSS Sleep Disturbance -
set1b_clinical	synSLP003	question	During the past 4 weeks, cumulative duration of sleep obtained during the sleep period
set1b_clinical	synSLP003	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synSLP004	name	SSS Sleep Disturbance -
set1b_clinical	synSLP004	question	In the past 7 days, count of discrete awakenings occurring during the sleep period
set1b_clinical	synSLP004	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synSLP005	name	SSS Sleep Disturbance -
set1b_clinical	synSLP005	question	Over the past 2 weeks, percentage of total sleep time spent in each sleep stage
set1b_clinical	synSLP005	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synSLP006	name	SSS Sleep Disturbance -
set1b_clinical	synSLP006	question	During the past 4 weeks, overall severity of the subject's sleep complaints
set1b_clinical	synSLP006	definition	As part of the Symptom Severity Scale (SSS).
set1b_clinical	synSLP007	name	FAB Emotional Well-Being -
set1b_clinical	synSLP007	question	In the past 7 days, propensity to fall asleep during normal waking activities
set1b_clinical	synSLP007	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synSLP008	name	FAB Emotional Well-Being -
set1b_clinical	synSLP008	question	Over the past 2 weeks, degree to which fatigue interferes with daily activities
set1b_clinical	synSLP008	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synSLP009	name	FAB Emotional Well-Being -
set1b_clinical	synSLP009	question	During the past 4 weeks, number and length of daytime sleep episodes during the recall period
set1b_clinical	synSLP009	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synSLP010	name	FAB Emotional Well-Being -
set1b_clinical	synSLP010	question	In the past 7 days, consistency of the subject's habitual bedtime across nights
set1b_clinical	synSLP010	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synSLP011	name	FAB Emotional Well-Being -
set1b_clinical	synSLP011	question	Over the past 2 weeks, impact of poor sleep on the subject's daily functioning
set1b_clinical	synSLP011	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synSLP012	name	FAB Emotional Well-Being -
set1b_clinical	synSLP012	question	During the past 4 weeks, suitability of the bedroom environment for restorative sleep
set1b_clinical	synSLP012	definition	Based on the Functional Assessment Battery (FAB).
set1b_clinical	synSLP013	definition	A field of the Symptom Severity Scale (SSS).
set1b_clinical	synSLP014	definition	A field of the Symptom Severity Scale (SSS).
set1b_clinical	synSLP015	definition	A field of the Symptom Severity Scale (SSS).
set1b_clinical	synSLP016	question	In the past 7 days, age of the participant at the time of the sleep evaluation
set1b_clinical	synSLP016	definition	[definition modified: 398 -> 369 chars]
set1b_clinical	synSLP017	question	Over the past 2 weeks, number of medical conditions known to affect sleep quality
set1b_clinical	synSLP017	definition	[definition modified: 403 -> 371 chars]
set1b_clinical	synSLP018	(clean)	
set1b_clinical	synSLP019	(clean)	
set1b_clinical	synSLP020	(clean)	
health_gravity_a	synMHL001	name	PHI Emotional Distress -
health_gravity_a	synMHL001	question	In the past 7 days, self-reported depression severity rating
health_gravity_a	synMHL001	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMHL002	name	PHI Emotional Distress -
health_gravity_a	synMHL002	question	Over the past 2 weeks, self-reported generalized anxiety severity level
health_gravity_a	synMHL002	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMHL003	name	PHI Emotional Distress -
health_gravity_a	synMHL003	question	During the past 4 weeks, rating of overall perceived psychological stress
health_gravity_a	synMHL003	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMHL004	name	PHI Emotional Distress -
health_gravity_a	synMHL004	question	In the past 7 days, ability to manage and modulate emotional responses
health_gravity_a	synMHL004	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMHL005	name	PHI Emotional Distress -
health_gravity_a	synMHL005	question	Over the past 2 weeks, presence of thoughts of self-harm or suicide
health_gravity_a	synMHL005	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMHL006	name	PHI Emotional Distress -
health_gravity_a	synMHL006	question	During the past 4 weeks, global rating of psychiatric symptom burden
health_gravity_a	synMHL006	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMHL007	name	COAS Psychological Well-Being -
health_gravity_a	synMHL007	question	In the past 7 days, ability to engage in social interactions and relationships
health_gravity_a	synMHL007	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMHL008	name	COAS Psychological Well-Being -
health_gravity_a	synMHL008	question	Over the past 2 weeks, impact of mental health on work or school performance
health_gravity_a	synMHL008	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMHL009	name	COAS Psychological Well-Being -
health_gravity_a	synMHL009	question	During the past 4 weeks, capacity to recover from adverse psychological experiences
health_gravity_a	synMHL009	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMHL010	name	COAS Psychological Well-Being -
health_gravity_a	synMHL010	question	In the past 7 days, belief in ability to accomplish daily tasks
health_gravity_a	synMHL010	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMHL011	name	COAS Psychological Well-Being -
health_gravity_a	synMHL011	question	Over the past 2 weeks, degree of disability caused by mental health symptoms
health_gravity_a	synMHL011	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMHL012	name	COAS Psychological Well-Being -
health_gravity_a	synMHL012	question	During the past 4 weeks, prior exposure to potentially traumatic events
health_gravity_a	synMHL012	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMHL013	definition	A field of the Patient Health Inventory (PHI).
health_gravity_a	synMHL014	definition	A field of the Patient Health Inventory (PHI).
health_gravity_a	synMHL015	definition	A field of the Patient Health Inventory (PHI).
health_gravity_a	synMHL016	question	In the past 7 days, patient age at the time of psychiatric evaluation
health_gravity_a	synMHL016	definition	[definition modified: 92 -> 63 chars]
health_gravity_a	synMHL017	question	Over the past 2 weeks, number of concurrent psychiatric diagnoses
health_gravity_a	synMHL017	definition	[definition modified: 97 -> 65 chars]
health_gravity_a	synMHL018	(clean)	
health_gravity_a	synMHL019	(clean)	
health_gravity_a	synMHL020	(clean)	
health_gravity_a	synMSK001	name	PHI Physical Limitation -
health_gravity_a	synMSK001	question	In the past 7 days, self-reported severity of joint pain at the most affected site
health_gravity_a	synMSK001	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMSK002	name	PHI Physical Limitation -
health_gravity_a	synMSK002	question	Over the past 2 weeks, angular excursion of the joint during voluntary movement
health_gravity_a	synMSK002	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMSK003	name	PHI Physical Limitation -
health_gravity_a	synMSK003	question	During the past 4 weeks, maximum force exerted during a hand grip dynamometry test
health_gravity_a	synMSK003	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMSK004	name	PHI Physical Limitation -
health_gravity_a	synMSK004	question	In the past 7 days, manual muscle testing grade for the affected muscle group
health_gravity_a	synMSK004	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMSK005	name	PHI Physical Limitation -
health_gravity_a	synMSK005	question	Over the past 2 weeks, standard deviation of bone density relative to young adult reference
health_gravity_a	synMSK005	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMSK006	name	PHI Physical Limitation -
health_gravity_a	synMSK006	question	During the past 4 weeks, global rating of musculoskeletal symptom burden
health_gravity_a	synMSK006	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synMSK007	name	COAS Rehabilitation Progress -
health_gravity_a	synMSK007	question	In the past 7 days, walking velocity measured over a standardized distance
health_gravity_a	synMSK007	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMSK008	name	COAS Rehabilitation Progress -
health_gravity_a	synMSK008	question	Over the past 2 weeks, composite assessment of the patient's risk of falling
health_gravity_a	synMSK008	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMSK009	name	COAS Rehabilitation Progress -
health_gravity_a	synMSK009	question	During the past 4 weeks, number of joints with detectable swelling on examination
health_gravity_a	synMSK009	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMSK010	name	COAS Rehabilitation Progress -
health_gravity_a	synMSK010	question	In the past 7 days, length of time morning joint stiffness persists after waking
health_gravity_a	synMSK010	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMSK011	name	COAS Rehabilitation Progress -
health_gravity_a	synMSK011	question	Over the past 2 weeks, degree of disability in daily activities due to musculoskeletal conditions
health_gravity_a	synMSK011	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMSK012	name	COAS Rehabilitation Progress -
health_gravity_a	synMSK012	question	During the past 4 weeks, clinical improvement following physical rehabilitation program
health_gravity_a	synMSK012	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synMSK013	definition	A field of the Patient Health Inventory (PHI).
health_gravity_a	synMSK014	definition	A field of the Patient Health Inventory (PHI).
health_gravity_a	synMSK015	definition	A field of the Patient Health Inventory (PHI).
health_gravity_a	synMSK016	question	In the past 7 days, patient age at the time of musculoskeletal evaluation
health_gravity_a	synMSK016	definition	[definition modified: 199 -> 170 chars]
health_gravity_a	synMSK017	question	Over the past 2 weeks, number of concurrent conditions affecting the musculoskeletal system
health_gravity_a	synMSK017	definition	[definition modified: 181 -> 149 chars]
health_gravity_a	synMSK018	(clean)	
health_gravity_a	synMSK019	(clean)	
health_gravity_a	synMSK020	(clean)	
health_gravity_a	synGIH001	name	PHI Digestive Function -
health_gravity_a	synGIH001	question	In the past 7 days, self-reported severity of abdominal pain over the assessment period
health_gravity_a	synGIH001	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synGIH002	name	PHI Digestive Function -
health_gravity_a	synGIH002	question	Over the past 2 weeks, average number of bowel movements per day during the recall period
health_gravity_a	synGIH002	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synGIH003	name	PHI Digestive Function -
health_gravity_a	synGIH003	question	During the past 4 weeks, classification of stool consistency using the seven-type Bristol chart
health_gravity_a	synGIH003	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synGIH004	name	PHI Digestive Function -
health_gravity_a	synGIH004	question	In the past 7 days, self-reported intensity of nausea symptoms during the assessment period
health_gravity_a	synGIH004	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synGIH005	name	PHI Digestive Function -
health_gravity_a	synGIH005	question	Over the past 2 weeks, composite score of heartburn and regurgitation severity and frequency
health_gravity_a	synGIH005	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synGIH006	name	PHI Digestive Function -
health_gravity_a	synGIH006	question	During the past 4 weeks, global rating of gastrointestinal symptom burden across all domains
health_gravity_a	synGIH006	definition	As part of the Patient Health Inventory (PHI).
health_gravity_a	synGIH007	name	COAS Somatic Symptom Burden -
health_gravity_a	synGIH007	question	In the past 7 days, grade of swallowing difficulty assessed by clinical evaluation
health_gravity_a	synGIH007	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synGIH008	name	COAS Somatic Symptom Burden -
health_gravity_a	synGIH008	question	Over the past 2 weeks, histological or non-invasive staging of liver fibrosis severity
health_gravity_a	synGIH008	definition	Based on the Clinical Outcome Assessment Scale (COAS).
health_gravity_a	synGIH009	name	COAS Somatic Symptom Burden -
health_gravity_a	synGIH009	question	During the past 4 weeks, standardized classification of findings during gastrointestinal endoscopy
