tinyId	domain	domain_full	sub_domain	verbosity	expected_cluster	name	instrument	temporal_phrase	injection_site
synSLP003	sleep_quality	Sleep Quality Measurement	Sleep Duration	expansive	slp	Total sleep time	SSS Sleep Disturbance	During the past 4 weeks	name+question+definition
synSLP004	sleep_quality	Sleep Quality Measurement	Sleep Continuity	expansive	slp	Number of nocturnal awakenings	SSS Sleep Disturbance	In the past 7 days	name+question+definition
synSLP005	sleep_quality	Sleep Quality Measurement	Sleep Architecture	expansive	slp	Sleep stage distribution	SSS Sleep Disturbance	Over the past 2 weeks	name+question+definition
synSLP006	sleep_quality	Sleep Quality Measurement	Severity	expansive	xd1b:severity	Sleep disturbance severity rating	SSS Sleep Disturbance	During the past 4 weeks	name+question+definition
synSLP007	sleep_quality	Sleep Quality Measurement	Daytime Impact	expansive	slp	Daytime sleepiness score	FAB Emotional Well-Being	In the past 7 days	name+question+definition
synSLP008	sleep_quality	Sleep Quality Measurement	Daytime Impact	expansive	slp	Fatigue impact level	FAB Emotional Well-Being	Over the past 2 weeks	name+question+definition
synSLP009	sleep_quality	Sleep Quality Measurement	Sleep Behavior	expansive	slp	Napping frequency and duration	FAB Emotional Well-Being	During the past 4 weeks	name+question+definition
synSLP010	sleep_quality	Sleep Quality Measurement	Sleep Behavior	expansive	slp	Bedtime regularity index	FAB Emotional Well-Being	In the past 7 days	name+question+definition
synSLP011	sleep_quality	Sleep Quality Measurement	Function	expansive	xd1b:function	Sleep-related functional impairment	FAB Emotional Well-Being	Over the past 2 weeks	name+question+definition
synSLP012	sleep_quality	Sleep Quality Measurement	Sleep Environment	expansive	slp	Sleep environment adequacy rating	FAB Emotional Well-Being	During the past 4 weeks	name+question+definition
synSLP013	sleep_quality	Sleep Quality Measurement	Medication	expansive	xd1b:medication	Sleep medication usage record	SSS Sleep Disturbance		definition_only
synSLP014	sleep_quality	Sleep Quality Measurement	Diagnostics	expansive	slp	Polysomnography apnea-hypopnea index	SSS Sleep Disturbance		definition_only
synSLP015	sleep_quality	Sleep Quality Measurement	Circadian	expansive	slp	Circadian rhythm phase marker	SSS Sleep Disturbance		definition_only
synSLP016	sleep_quality	Sleep Quality Measurement	Demographics	expansive	xd1b:demographics	Subject age at sleep assessment		In the past 7 days	temporal_only
synSLP017	sleep_quality	Sleep Quality Measurement	Comorbidity	expansive	xd1b:comorbidity	Sleep-relevant comorbidity count		Over the past 2 weeks	temporal_only
synSLP018	sleep_quality	Sleep Quality Measurement	Quality of Life	expansive	xd1b:qol	Sleep-related quality of life			clean
synSLP019	sleep_quality	Sleep Quality Measurement	Treatment	expansive	xd1b:treatment	Sleep intervention response rating			clean
synSLP020	sleep_quality	Sleep Quality Measurement	Movement Disorders	expansive	slp	Restless leg symptom severity			clean
