pattern	tinyIds
Dizziness Handicap Inventory	7JPzcwgSAG 7JbfqwxrRG 7JuMcvlHCG 7k8zcwxr0G 7kMXqDlSCM 7kiz5wxHCM 7yEMqvlSCM 7yRZ5PgrAG 7yeX5wgBCM 7ygzcvxBCM 7ypGcDlS0z Q16_qDlBCf Q179vlB0z QJWlb5PeHAM QJXG5DlSAf QkrM9vgBCM QyRzqPlrAz Xk3f5wgSRz Xk9_9PgrCG Xkxx_9PeB0f Xy_QqwxHCf Xyyxb9vlSRz m15McDxHRG m1nZcDer0G mJGlb9DeB0f mJtGcPlrCz mkfcwlSRz mksW5Der0z mkzM9PgHRM
Dizziness Handicap Inventory (DHI)	7JPzcwgSAG 7JbfqwxrRG 7JuMcvlHCG 7k8zcwxr0G 7kMXqDlSCM 7kiz5wxHCM 7yEMqvlSCM 7yRZ5PgrAG 7yeX5wgBCM 7ygzcvxBCM 7ypGcDlS0z Q16_qDlBCf Q179vlB0z QJWlb5PeHAM QJXG5DlSAf QkrM9vgBCM QyRzqPlrAz Xk3f5wgSRz Xk9_9PgrCG Xkxx_9PeB0f Xy_QqwxHCf Xyyxb9vlSRz m15McDxHRG m1nZcDer0G mJGlb9DeB0f mJtGcPlrCz mkfcwlSRz mksW5Der0z mkzM9PgHRM
Edmonton Symptom Assessment System	q5pb6Aqy6bW
Edmonton Symptom Assessment System (ESAS)	q5pb6Aqy6bW
Edmonton Symptom Assessment System (ESAS) -	q5pb6Aqy6bW
Family History - Research Diagnostic Criteria (FH-RDC)	71Agd1L5CqQ 71AgdRBqAq7 71Wi1IqAqX 71jeqy8c05m QJCeKyL5C9m QkLFRS509Q QkkWOCScC9Q QyLq1850cQ X1BYArq057 X1y_Y1U9C5X XJMsJIcAcX XJVxt1U90cX Xyl_ORH5C97 myegcJL50c7 myqx5yI50cQ myrckUcCc7
Family History Research Diagnostic Criteria (FH-RDC)	71Agd1L5CqQ 71AgdRBqAq7 71Wi1IqAqX 71jeqy8c05m QJCeKyL5C9m QkLFRS509Q QkkWOCScC9Q QyLq1850cQ X1BYArq057 X1y_Y1U9C5X XJMsJIcAcX XJVxt1U90cX Xyl_ORH5C97 myegcJL50c7 myqx5yI50cQ myrckUcCc7
Geriatric Depression Scale	71HTdmlBAz 7JDZ3dXgrRG 7JfWnOQlB0f 7kKx2OmeBRz CoJuVByB2tr HVAPUdumwva JDth3tCRT46 Q1g_2OmlB0M QJExhdQgH0f QJ__3dQgHRz QJadQxHCf Qkx6OXgS0G QyUbnO7lB0z QyZZ3OXgrRf SErqEJ7zjfA TsVaEXP00Bt UBq0QEsuQUr X1jg2OQxB0M Xy7ehumgBRz XyG6d7gBAz XyWpuQlHCz Z6ukfgPc8pU b7tJqrqNyPa cnOb2yfDBmf drm_qPWcrX5 dxdZfNfGhvS fgDJT6DdsEO g7NE3R7dsZ6 jHnOnaEduD8 m1Ce2OQeHCM my46O7gr0f myX250xnTW8 nznTKq4bKCD
Geriatric Depression Scale (GDS)	71HTdmlBAz 7JDZ3dXgrRG 7JfWnOQlB0f 7kKx2OmeBRz CoJuVByB2tr HVAPUdumwva JDth3tCRT46 Q1g_2OmlB0M QJExhdQgH0f QJ__3dQgHRz QJadQxHCf Qkx6OXgS0G QyUbnO7lB0z QyZZ3OXgrRf SErqEJ7zjfA TsVaEXP00Bt UBq0QEsuQUr X1jg2OQxB0M Xy7ehumgBRz XyG6d7gBAz XyWpuQlHCz Z6ukfgPc8pU b7tJqrqNyPa cnOb2yfDBmf drm_qPWcrX5 dxdZfNfGhvS fgDJT6DdsEO g7NE3R7dsZ6 jHnOnaEduD8 m1Ce2OQeHCM my46O7gr0f myX250xnTW8 nznTKq4bKCD
Glasgow Coma Scale	75YvowH7Ett BwOBmxM5U79 G265ZshGXob KpzUAFu5SeJ OFFtnF36Twz O_veAVaj7FM QKd8uX8UFJQ QyuMNliecZ S7KKVzbAk7M WrWK54CZJ_E agsJ0VXO6pX oVoBCuGW2Rk rgzw9sZA0b_ sqTzwkbJCEb
Glasgow Coma Scale (GCS)	75YvowH7Ett G265ZshGXob OFFtnF36Twz O_veAVaj7FM oVoBCuGW2Rk rgzw9sZA0b_
Grip Strength test	XkNbKozo4
Grip Strength test -	XkNbKozo4
Grip Strength test.	XkNbKozo4
Head Injury Criterion	2_kKSMytE_ 7wnHQpxWF8 mJzHgscaTU
Head Injury Criterion (HIC)	2_kKSMytE_ 7wnHQpxWF8
Healthy Days Core Module (CDC HRQOL)	VFtwu4bhVx
Healthy Days Core Module (CDC HRQOL) -	VFtwu4bhVx
I had difficulty falling asleep in past 7 days [PROMIS]	Q1ebzDcshsl mkmhYJOnk7l
I had trouble	Qyz_zvcjhoe XyjGcJOnJXx m15euJ_hJXg mkbZzP9o3ol
Ischemic Perinatal Stroke	78T2jH6qt8q
Ischemic Perinatal Stroke (IPS)	78T2jH6qt8q
Ischemic Perinatal Stroke (IPS) -	78T2jH6qt8q
Kiddie Schedule for Affective Disorders Present and Lifetime	718lLdX5C5m 7kOg8d7509m 7y9x8dm9Ac7 Q11ZUumc05X QJsx8dmcAq7 QkFlIdX5Rq7 QkhxUuX90q7 XyxZUd75Rq7 myCe8dXqRqX
Kiddie Schedule for Affective Disorders Present and Lifetime (KSADS-PL)	718lLdX5C5m 7kOg8d7509m 7y9x8dm9Ac7 Q11ZUumc05X QJsx8dmcAq7 QkFlIdX5Rq7 QkhxUuX90q7 XyxZUd75Rq7 myCe8dXqRqX
Kiddie Schedule for Affective Disorders Present and Lifetime version (KSADS-PL)	718lLdX5C5m 7kOg8d7509m 7y9x8dm9Ac7 Q11ZUumc05X QJsx8dmcAq7 QkFlIdX5Rq7 QkhxUuX90q7 XyxZUd75Rq7 myCe8dXqRqX
Los Angeles Motor Scale	18YMUjKKfrn 3jBGBGAh6Qg 4JXNoook66x 9WCFZEA6Xp8 NRbO0GBvUT1 RTKQcYb5yuu UseXHErk1Ub
Los Angeles Motor Scale (LAMS)	3jBGBGAh6Qg 4JXNoook66x 9WCFZEA6Xp8 NRbO0GBvUT1 RTKQcYb5yuu UseXHErk1Ub
Morris Water Maze Acquisition	XJBsKsMi4
Morris Water Maze Acquisition (MWMA)	XJBsKsMi4
Morris Water Maze Acquisition (MWMA) -	XJBsKsMi4
Morris Water Maze Probe (MWMP)	7ywiKozsE Q1aotizi4 QkjstoMsN
Morris Water Maze Working Memory test	DZmlXbIb L6ot1fRw3 npDqllsTk
Morris Water Maze test	7ywiKozsE B1YHKGtH K_3ldoSGX Q1aotizi4 QhQb8l9C_ QkjstoMsN QkkotjfsV SjoMhxVa3 X1nttjfj4 XJBsKsMi4 XJRoFoMoE XJZoYoMoE XktttifoN XyoKtszoE g8tai6eN m1GjYszoV mk39Fozj4 mkK9tsMsV y2x4ltGIY
My sleep quality was...in past 7 days [PROMIS]	7JNWzP5jnsg QkV2K1_2yQe
My sleep was	7y6gzw5o2jl QJy_GP5snsl XySaK1unymg mybhYJd21Qx
NIH Toolbox	713jVsapL 71Gkc4jTaI 71MuOEsT6I 71TcEiaaL 71ZVxHi6TL 71b2cVj6pL 71fQp4sT68 71gkk_dT68 71oOVjaTL 71xehNoapU 71z_kuuppI 7J2OEja6I 7JGNFVja68 7JHlria6U 7JPu4jaaI 7JS9EiaaU 7JWLYNjTT8 7JZW64sTTI 7JZmJ_ua6U 7JeR5NiaaI 7Jek9EsTTL 7JerCDOTpI 7Jf9F4oaaU 7JgZi4sTaL 7JgcO4oTTL 7Jl2qNjap8 7JlzkuO6TL 7kGw725TpU 7kMC34jaaI 7kMDtVjpp8 7kMhs4sTaI 7kMjViap8 7k_5FEoTaL 7kbTNsaTI 7kee9EipTL 7keu3ViT6I 7kiKEi6p8 7klcqVj6aU 7kmYVsppL 7kpi4j6TI 7kzFQh9a6I 7kzMiEoTT8 7kzf1_uTTU 7yEpNsaTI 7yGh5EoaT8 7yJJOO6p8 7yMJYNi668 7yMz6VoTaU 7yZQ24jpTU 7ylLj4iT6U 7yl_RPuppU 7ylv34oap8 7yx0nEjaTU 7yxNerop6I 7yz0_4oapL Q14nVjaaL Q1G7JuOapU Q1IJdda6L Q1MoRv_p6U Q1PFEiaT8 Q1WJOuapL Q1WV54ip6L Q1bLiViTTL Q1ezKNi6pI Q1fp3No6pI Q1gyYVjTaL Q1lLu4sTpL Q1lYCDdapI Q1lnVop6L Q1xPF4j6pU Q1xduNspaU Q1xuQ3c6a8 Q1z6NiapU QJ59EsTaI QJG4cNoTaI QJG80Pu6T8 QJK5Vi6TI QJeBgHoTa8 QJeE1_u6TI QJe_T4jaT8 QJgF5VoT6I QJgaNo6TI QJlc0DdT68 QJli_4jap8 QJoAvu66L QJwAw_pp8 QJxGiVoTpI QJxf64jTT8 QJzfh4op6I QJzk_upaI QkGuCwupaU QkWAhVjT6I QkWQd4iT6U QkXJ_uaaL QkZSxHs6pI QkZkc4sppL Qk_3dNip6U Qkb9_EsTaI Qkbka4iapU Qkbxu4o66L Qke7yu_Tp8 QkeJs4ipTL Qkg2sNoaTU QkgpAP_6aL QklCAwO6pL Qkx8FVja6U Qkz8oEiTp8 Qy9AD_6p8 QyMSyu_a6I QyUdNop6I QyWT3EsTaI Qy_3sEiaaI Qy_Xp4sp68 Qy_fi4j6pU Qy_vnNiTa8 QydXhc6aI QyebJduppU Qyg45Vspp8 QygE_EoaaU QygYuNs66I QygrJ_da6I QyluqNoTpU Qyr0v_6pI QyxSiVoaT8 QyxlTNipaL QyxraVoTTL X149No6TI X1DnNo6pI X1M3Av_T6L X1WQlro6TL X1_jAwOTa8 X1_vtVi6TL X1bAAvOTTU X1bVaVsTp8 X1xXpEjTT8 X1z3EiT6L XJ4xHia6I XJFX25ppU XJGF54s6TU XJGUn4ia6U XJMw0Pu66L XJWfJ_uT6I XJWvQ396pL XJZ2RDd6aI XJZXFEja6U XJ_N_Nop6L XJ_rJ_dpaU XJbYKEoTT8 XJbZOVj6pI XJbaCDd6aI XJcQh9Ta8 XJd0DOapU XJeXeSopaI XJey6ViaaL XJfSs4jap8 XJllOEop6U XJn0wuapL XJxc4opT8 Xk2qNj6pI XkGId4iTpU XkX64i6T8 XkZea4o6TL XkaAPuTTU Xkb1FNiTa8 XkbICD_a6U XkbooNi6TL XkeIyOdaTI Xkel1dd6pL XkeyO_pT8 Xkf4gSiaa8 XkfeTVop6I XkgK7296aU XkgY4spTI Xkgbu4sapU Xkgk_EjaT8 XkkFVip6U XkxgFNsTT8 XkxhCwuaT8 Xkxm34s6pU XkzHlrjp6I Xkze1ddapU Xy0RPdTTI XyBaVoaaI XyBjEsa68 XyBkdO6TI XyG0RD_ppL XyK_4iapL XyVFVopaU XyWOnEopTI XyYRPdaTL XyZ4FEiaa8 XyZGaEsp68 Xy__7hc6TU XybG2EoTTU Xybt7nqTa8 XyeRONsp68 Xye_VsaaL XyfTRPuaTL XylKKNjT6U XyuhNipT8 XyxiAv_TpI Xyz6aNjppU XyzNyOOp6L m14O4jTaI m1LCPOa6L m1Qi4spT8 m1_HRPuapU m1b0_EiTTI m1b11_OTTI m1eL24o6p8 m1gmONo66L m1xb3Vj6T8 mJ8oVsp6U mJA2EspTL mJWYRwO6a8 mJXnVoapU mJb_NsaTU mJcKEiapI mJe5YViaaL mJez34iTTI mJf_3Ej6TU mJlmFNoT6I mJxQjVoTaU mJy64ipa8 mk4yuO668 mkGWOEoTTI mkZddEi6T8 mkZlFEiap8 mk_Si4s668 mkb8nVjT6U mkbdRPdTpU mkbyuEi6aU mkeao4ippU mkgEnEoT6U mkgsiNsapI mkl2uVoaTL mklwCP_pTL mkxI0Dup6U mkxPmhqap8 myG464jpaI myWD0D_pTI myWKqVjppU myWVkOOpa8 myZOq4opaL myZcCvd6TI my_Lu4jpTL my_bkdOa6I myb1oVi6p8 mybiu4ipp8 mybx1uu6pI myeVaEoT6I mywmhcppU myx4YVo6p8 myzttVop6L
