tinyId	domain	domain_full	sub_domain	verbosity	expected_cluster	name	instrument	temporal_phrase	injection_site
synMSK001	musculoskeletal	Musculoskeletal Assessment	Joint Pain	informational	msk	Joint pain severity score	PHI Physical Limitation	In the past 7 days	name+question+definition
synMSK002	musculoskeletal	Musculoskeletal Assessment	Range of Motion	informational	msk	Active range of motion	PHI Physical Limitation	Over the past 2 weeks	name+question+definition
synMSK003	musculoskeletal	Musculoskeletal Assessment	Strength	informational	msk	Grip strength measurement	PHI Physical Limitation	During the past 4 weeks	name+question+definition
synMSK004	musculoskeletal	Musculoskeletal Assessment	Muscle Function	informational	msk	Muscle weakness grading	PHI Physical Limitation	In the past 7 days	name+question+definition
synMSK005	musculoskeletal	Musculoskeletal Assessment	Bone Density	informational	msk	Bone mineral density T-score	PHI Physical Limitation	Over the past 2 weeks	name+question+definition
synMSK006	musculoskeletal	Musculoskeletal Assessment	Severity	informational	xdha:severity	Musculoskeletal symptom severity	PHI Physical Limitation	During the past 4 weeks	name+question+definition
synMSK007	musculoskeletal	Musculoskeletal Assessment	Gait	informational	msk	Gait speed assessment	COAS Rehabilitation Progress	In the past 7 days	name+question+definition
synMSK008	musculoskeletal	Musculoskeletal Assessment	Fall Risk	informational	msk	Fall risk score	COAS Rehabilitation Progress	Over the past 2 weeks	name+question+definition
synMSK009	musculoskeletal	Musculoskeletal Assessment	Joint Inflammation	informational	msk	Swollen joint count	COAS Rehabilitation Progress	During the past 4 weeks	name+question+definition
synMSK010	musculoskeletal	Musculoskeletal Assessment	Stiffness	informational	msk	Morning stiffness duration	COAS Rehabilitation Progress	In the past 7 days	name+question+definition
synMSK011	musculoskeletal	Musculoskeletal Assessment	Function	informational	xdha:function	Musculoskeletal functional impairment	COAS Rehabilitation Progress	Over the past 2 weeks	name+question+definition
synMSK012	musculoskeletal	Musculoskeletal Assessment	Rehabilitation	informational	msk	Physical therapy response	COAS Rehabilitation Progress	During the past 4 weeks	name+question+definition
synMSK013	musculoskeletal	Musculoskeletal Assessment	Medication	informational	xdha:medication	Musculoskeletal medication usage	PHI Physical Limitation		definition_only
synMSK014	musculoskeletal	Musculoskeletal Assessment	Fracture	informational	msk	Vertebral fracture assessment	PHI Physical Limitation		definition_only
synMSK015	musculoskeletal	Musculoskeletal Assessment	Disability	informational	msk	Disability index score	PHI Physical Limitation		definition_only
synMSK016	musculoskeletal	Musculoskeletal Assessment	Demographics	informational	xdha:demographics	Age at musculoskeletal assessment		In the past 7 days	temporal_only
synMSK017	musculoskeletal	Musculoskeletal Assessment	Comorbidity	informational	xdha:comorbidity	Musculoskeletal comorbidity count		Over the past 2 weeks	temporal_only
synMSK018	musculoskeletal	Musculoskeletal Assessment	Quality of Life	informational	xdha:qol	Musculoskeletal quality of life			clean
synMSK019	musculoskeletal	Musculoskeletal Assessment	Treatment	informational	xdha:treatment	Musculoskeletal treatment response			clean
synMSK020	musculoskeletal	Musculoskeletal Assessment	Joint Tenderness	informational	msk	Tender joint count			clean
synGIH001	gastrointestinal	Gastrointestinal Health Evaluation	Abdominal Pain	expansive	gih	Abdominal pain severity score	PHI Digestive Function	In the past 7 days	name+question+definition
synGIH002	gastrointestinal	Gastrointestinal Health Evaluation	Bowel Habits	expansive	gih	Stool frequency per day	PHI Digestive Function	Over the past 2 weeks	name+question+definition
synGIH003	gastrointestinal	Gastrointestinal Health Evaluation	Stool Form	expansive	gih	Bristol stool form scale score	PHI Digestive Function	During the past 4 weeks	name+question+definition
synGIH004	gastrointestinal	Gastrointestinal Health Evaluation	Nausea	expansive	gih	Nausea severity rating	PHI Digestive Function	In the past 7 days	name+question+definition
synGIH005	gastrointestinal	Gastrointestinal Health Evaluation	Reflux	expansive	gih	Gastroesophageal reflux symptom score	PHI Digestive Function	Over the past 2 weeks	name+question+definition
synGIH006	gastrointestinal	Gastrointestinal Health Evaluation	Severity	expansive	xdha:severity	Gastrointestinal symptom severity	PHI Digestive Function	During the past 4 weeks	name+question+definition
synGIH007	gastrointestinal	Gastrointestinal Health Evaluation	Dysphagia	expansive	gih	Dysphagia severity grade	COAS Somatic Symptom Burden	In the past 7 days	name+question+definition
synGIH008	gastrointestinal	Gastrointestinal Health Evaluation	Liver Disease	expansive	gih	Hepatic fibrosis stage	COAS Somatic Symptom Burden	Over the past 2 weeks	name+question+definition
synGIH009	gastrointestinal	Gastrointestinal Health Evaluation	Endoscopy	expansive	gih	Endoscopy finding classification	COAS Somatic Symptom Burden	During the past 4 weeks	name+question+definition
synGIH010	gastrointestinal	Gastrointestinal Health Evaluation	Infection	expansive	gih	Helicobacter pylori infection status	COAS Somatic Symptom Burden	In the past 7 days	name+question+definition
synGIH011	gastrointestinal	Gastrointestinal Health Evaluation	Function	expansive	xdha:function	Gastrointestinal functional impairment	COAS Somatic Symptom Burden	Over the past 2 weeks	name+question+definition
synGIH012	gastrointestinal	Gastrointestinal Health Evaluation	IBD Activity	expansive	gih	Inflammatory bowel disease activity index	COAS Somatic Symptom Burden	During the past 4 weeks	name+question+definition
synGIH013	gastrointestinal	Gastrointestinal Health Evaluation	Medication	expansive	xdha:medication	Gastrointestinal medication usage	PHI Digestive Function		definition_only
synGIH014	gastrointestinal	Gastrointestinal Health Evaluation	Celiac	expansive	gih	Celiac disease antibody titer	PHI Digestive Function		definition_only
synGIH015	gastrointestinal	Gastrointestinal Health Evaluation	Nutrition	expansive	gih	Nutritional status assessment score	PHI Digestive Function		definition_only
synGIH016	gastrointestinal	Gastrointestinal Health Evaluation	Demographics	expansive	xdha:demographics	Age at gastrointestinal evaluation		In the past 7 days	temporal_only
synGIH017	gastrointestinal	Gastrointestinal Health Evaluation	Comorbidity	expansive	xdha:comorbidity	Gastrointestinal comorbidity count		Over the past 2 weeks	temporal_only
synGIH018	gastrointestinal	Gastrointestinal Health Evaluation	Quality of Life	expansive	xdha:qol	Gastrointestinal quality of life			clean
synGIH019	gastrointestinal	Gastrointestinal Health Evaluation	Treatment	expansive	xdha:treatment	Gastrointestinal treatment response			clean
synGIH020	gastrointestinal	Gastrointestinal Health Evaluation	Biomarkers	expansive	gih	Fecal calprotectin concentration			clean
